Date,BAC,JPM,Residual,Rolling_Hedge_Ratio,Spread,Z_Score,Signal,PNL,Equity,DrawDown_%
2014-08-21,12.959705352783203,43.85470199584961,-6.300839464676727,1.7734215032678635,20.871681847208244,-1.1014730384995246,0,0.0,100000.0,0.0
2014-08-22,12.935647964477539,43.84722137451172,-6.216552016042179,1.7740764378594505,20.898393112287554,-1.0792978856542519,0,0.0,100000.0,0.0
2014-08-25,13.063965797424316,44.48442077636719,-6.06882718735968,1.792294681397272,21.069944359687714,-1.0416342340314542,0,0.0,100000.0,0.0
2014-08-26,13.09604263305664,44.78428268432617,-5.891323918642861,1.8108129521382497,21.0697990626325,-1.024118350315921,0,0.0,100000.0,0.0
2014-08-27,12.991785049438477,44.671817779541016,-5.606093233737752,1.8258099190505108,20.951287770104113,-1.0200903318822063,0,0.0,100000.0,0.0
2014-08-28,12.839411735534668,44.349483489990234,-5.347192155816643,1.8485175569323513,20.61560547617113,-1.0410482736802738,0,0.0,100000.0,0.0
2014-08-29,12.903568267822266,44.5668830871582,-5.374520750643271,1.871058251469655,20.42355520624735,-1.0456325781734306,0,0.0,100000.0,0.0
2014-09-02,13.04792308807373,44.731788635253906,-5.76026363858648,1.9143114698865815,19.75399980955642,-1.1070999360578386,0,0.0,100000.0,0.0
2014-09-03,12.951393127441406,44.75428009033203,-5.369553985040902,1.9661187935254565,19.290302660133044,-1.1429414235359943,0,0.0,100000.0,0.0
2014-09-04,12.959437370300293,44.76178741455078,-5.392731813847504,2.0439661580899067,18.273136001771327,-1.2426742332549254,0,0.0,100000.0,0.0
2014-09-05,12.887040138244629,44.91170883178711,-4.966647657219774,2.124633068032639,17.53147720500866,-1.3079337978006966,0,0.0,100000.0,0.0
2014-09-08,13.152501106262207,44.8967170715332,-5.99425310514701,2.2480514278975265,15.32921817917665,-1.5440831430996957,0,0.0,100000.0,0.0
2014-09-09,12.983570098876953,44.2745246887207,-5.972049998753633,2.4608437060534833,12.323987928795152,-1.8649533160016647,0,0.0,100000.0,0.0
2014-09-10,13.160543441772461,44.39445877075195,-6.5271892832801015,2.574151014220411,10.517232522421594,-2.0301354140786736,0,0.0,100000.0,0.0
2014-09-11,13.329475402832031,44.79927062988281,-6.766776551191867,2.676230226249448,9.126525656775193,-2.1367541129859955,0,0.0,100000.0,0.0
2014-09-12,13.506450653076172,45.00168228149414,-7.239445541811769,2.758439928964602,7.744949501458798,-2.235939876057054,0,0.0,100000.0,0.0
2014-09-15,13.466229438781738,44.934207916259766,-7.1534941419193885,2.832827682100181,6.786700388566473,-2.2814380366339617,0,0.0,100000.0,0.0
2014-09-16,13.442092895507812,44.971683502197266,-7.023948545558817,2.915480809912573,5.781519620282104,-2.3284488829477565,0,0.0,100000.0,0.0
2014-09-17,13.490362167358398,45.211570739746094,-6.968186777509111,2.987894918198141,4.903786175243475,-2.356377988668683,0,0.0,100000.0,0.0
2014-09-18,13.707563400268555,45.96872329711914,-7.039558816677818,2.9968233108716853,4.889577763942796,-2.2906381497318193,0,0.0,100000.0,0.0
2014-09-19,13.635161399841309,45.81129837036133,-6.920802814860458,2.9626392584285424,5.415233912181989,-2.1753591752850223,0,0.0,100000.0,0.0
2014-09-22,13.699517250061035,45.661376953125,-7.316212731973103,2.936110549031241,5.438079838585338,-2.1206199130737415,0,0.0,100000.0,0.0
2014-09-23,13.715606689453125,45.68385314941406,-7.355110479571493,2.894559583144248,5.983212367820165,-2.014844342675976,0,0.0,100000.0,0.0
2014-09-24,13.820182800292969,46.20111083984375,-7.236763416308122,2.85547504637579,6.737923717255292,-1.8932126694793854,0,0.0,100000.0,0.0
2014-09-25,13.554717063903809,45.091636657714844,-7.3336057215799215,2.8262626748051374,6.782445752459225,-1.8499468767657914,0,0.0,100000.0,0.0
2014-09-26,13.699517250061035,45.39897918701172,-7.578610498086384,2.7754780797366516,7.376269356493182,-1.7497973701877223,0,0.0,100000.0,0.0
2014-09-29,13.68342113494873,45.226566314697266,-7.689623961656096,2.708890154530641,8.159681521938161,-1.635238461043096,0,0.0,100000.0,0.0
2014-09-30,13.715606689453125,45.159095764160156,-7.8798678648254,2.6526357255021935,8.77658746277993,-1.5430954156286674,0,0.0,100000.0,0.0
